"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2536-P",12,1476.11301369499,"UGAUU","Paris","Florida","Mexico","Local Pumpkin Festival","1170 Q","1295 Y",414,1480,2,"Jack Be Little",669.553600269755,"heavy"
"2377-P",70,1477.13997202832,"LIXNZ","Nottingham","New York","UK","Local Pumpkin Festival","1295 T","1591 Z",414,1490,-6,"Howden",670.019420734061,"heavy"
"2038-P",67,1479.55727256145,"ECCBX","Nottingham","California","Mexico","National Pumpkin Festival","1131 Z","1593 R",412,1446,5,"Cinderella",671.115889811886,"heavy"
"2279-P",68,1461.37742578611,"NMIDV","Los Angeles","California","Mexico","Local Pumpkin Festival","1123 H","1007 H",388,1269,11,"Howden",662.86965002682,"heavy"
"2671-P",14,1446.88694554567,"KLHDR","New York","California","USA","Local Pumpkin Festival","1810 Q","1781 Y",415,1448,4,"Atlantic Giant",656.296878752123,"heavy"
"2525-P",84,1444.13951138593,"ENLED","Nottingham","Texas","Mexico","National Pumpkin Festival","1855 S","1200 S",400,1341,3,"Cinderella",655.050663580187,"heavy"
"2021-P",7,1446.18908860534,"SESZW","Nottingham","California","Mexico","Local Pumpkin Festival","1169 U","1937 R",413,1435,3,"Howden",655.980336168638,"heavy"
"2192-P",9,1447.1203800384,"ONINN","Los Angeles","California","USA","Local Pumpkin Festival","1259 A","1552 M",378,1199,22,"Jack Be Little",656.402762856917,"heavy"
"2498-P",79,1440.22072185744,"SPTMD","Nottingham","Texas","UK","National Pumpkin Festival","1497 R","1609 W",411,1421,3,"Howden",653.273130550425,"heavy"
"2325-P",90,1433.40030123666,"BJWQY","Houston","Texas","UK","Regional Pumpkin Festival","1140 Q","1931 U",441,1696,-16,"Cinderella",650.17943979665,"heavy"
"2614-P",95,1422.33096957859,"JUDST","Houston","Florida","USA","Local Pumpkin Festival","1372 U","1342 J",394,1259,15,"Howden",645.158475415549,"heavy"
"2842-P",54,1412.98465150874,"YFNGU","Chicago","Texas","USA","Regional Pumpkin Festival","1347 Q","1743 I",391,1270,14,"Cinderella",640.919056851474,"heavy"
"2524-P",74,1408.1445588572,"SXAOA","Los Angeles","Texas","UK","Regional Pumpkin Festival","1177 M","1227 U",405,1351,4,"Howden",638.72362775464,"heavy"
"2807-P",33,1403.79776974581,"GGXJL","Chicago","California","USA","Local Pumpkin Festival","1703 Q","1181 R",408,1405,3,"Atlantic Giant",636.751957379717,"heavy"
"2109-P",19,1384.74439145997,"YUSWA","Paris","Texas","USA","Local Pumpkin Festival","1370 E","1785 Z",385,1259,7,"Cinderella",628.109490366536,"heavy"
"2870-P",25,1387.64253462479,"JCBTR","New York","Florida","USA","National Pumpkin Festival","1847 F","1141 B",410,1486,-6,"Jack Be Little",629.424065993263,"heavy"
"2028-P",71,1389.69924484845,"PUSZK","Los Angeles","Texas","USA","Local Pumpkin Festival","1011 V","1656 M",400,1364,1,"Atlantic Giant",630.35697405802,"heavy"
"2732-P",38,1384.63616038114,"LSRHI","Nottingham","California","Mexico","National Pumpkin Festival","1567 Z","1921 X",400,1400,2,"Atlantic Giant",628.060397574981,"heavy"
"2303-P",26,1379.15700631402,"JHZPD","Nottingham","Florida","Mexico","National Pumpkin Festival","1207 P","1722 H",378,1127,23,"Cinderella",625.575095096083,"heavy"
"2660-P",11,1353.13706200849,"AQSYO","Los Angeles","New York","Mexico","National Pumpkin Festival","1709 Z","1765 P",396,1335,0,"Atlantic Giant",613.772646891269,"heavy"
"2286-P",30,1354.20964730252,"WSQKT","New York","New York","UK","Regional Pumpkin Festival","1160 C","1240 G",409,1433,-1,"Howden",614.259163396812,"heavy"
"2613-P",59,1363.7503264742,"TTNPY","Los Angeles","Texas","UK","Regional Pumpkin Festival","1664 R","1434 T",374,1141,17,"Cinderella",618.586742673705,"heavy"
"2328-P",84,1346.4653788805,"OKTAE","New York","California","USA","National Pumpkin Festival","1426 Z","1905 F",400,1311,0,"Howden",610.746422329354,"heavy"
"2486-P",1,1360.05949605536,"EUONC","Nottingham","Texas","USA","Local Pumpkin Festival","1405 J","1315 R",392,1256,4,"Howden",616.912610156755,"heavy"
"2854-P",62,1343.43881626483,"CEXQL","Houston","New York","Mexico","National Pumpkin Festival","1903 O","1140 R",396,1308,5,"Atlantic Giant",609.373596619559,"heavy"
"2629-P",66,1339.88481128123,"MDFYN","New York","Florida","Mexico","Regional Pumpkin Festival","1067 J","1549 O",403,1414,-2,"Atlantic Giant",607.761527076054,"heavy"
"2857-P",58,1323.37157377694,"DUDIA","Nottingham","New York","Mexico","Local Pumpkin Festival","1706 P","1740 X",399,1370,-7,"Jack Be Little",600.271248540111,"heavy"
"2575-P",58,1330.19365190901,"UBOZN","Paris","New York","USA","Local Pumpkin Festival","1532 X","1412 E",388,1221,9,"Cinderella",603.365691128362,"heavy"
"2735-P",15,1330.21179743763,"BOGNV","Chicago","New York","UK","Regional Pumpkin Festival","1591 J","1670 G",401,1376,-8,"Jack Be Little",603.373921801695,"heavy"
"2732-P",37,1325.09652982652,"KNJXX","New York","New York","UK","Local Pumpkin Festival","1681 O","1896 E",392,1292,-2,"Jack Be Little",601.053675442788,"heavy"
"2289-P",28,1307.35127718933,"SLVDD","Chicago","Texas","Mexico","Regional Pumpkin Festival","1971 X","1119 I",388,1230,4,"Howden",593.004564242835,"heavy"
"2649-P",70,1324.9141262779,"MFVUV","Los Angeles","Texas","USA","Local Pumpkin Festival","1682 U","1535 R",382,1163,9,"Atlantic Giant",600.970938584873,"heavy"
"2128-P",27,1307.51318328176,"UFHHI","Paris","California","Mexico","National Pumpkin Festival","1915 B","1367 X",381,1201,11,"Cinderella",593.078003611017,"heavy"
"2810-P",64,1324.03381862864,"TCBDG","Los Angeles","New York","Mexico","Regional Pumpkin Festival","1601 S","1259 E",380,1162,15,"Jack Be Little",600.571637751915,"heavy"
"2281-P",10,1309.98501798976,"ZOIVS","Nottingham","Texas","Mexico","Local Pumpkin Festival","1307 U","1389 V",372,1147,13,"Howden",594.199208974469,"heavy"
"2142-P",54,1312.14741293062,"YDJUS","Los Angeles","California","Mexico","Regional Pumpkin Festival","1574 A","1263 A",388,1223,11,"Atlantic Giant",595.180054820566,"heavy"
"2441-P",71,1308.00335630123,"TMURC","Nottingham","New York","Mexico","Local Pumpkin Festival","1671 Y","1636 L",382,1215,13,"Atlantic Giant",593.300342352627,"heavy"
"2919-P",34,1312.24474817328,"HWZZQ","New York","New York","USA","Local Pumpkin Festival","1030 U","1671 J",400,1369,-2,"Cinderella",595.224205343972,"heavy"
"2535-P",66,1288.7116692625,"IFFTW","Houston","Texas","UK","Regional Pumpkin Festival","1788 U","1981 B",382,1244,8,"Cinderella",584.549780307433,"heavy"
"2807-P",47,1297.16375607532,"QCIMZ","Houston","Florida","UK","National Pumpkin Festival","1292 G","1356 H",376,1186,6,"Cinderella",588.383582396304,"heavy"
"2345-P",50,1291.55029144883,"OAZAD","New York","Texas","USA","National Pumpkin Festival","1609 G","1094 N",386,1268,2,"Cinderella",585.837357672466,"heavy"
"2674-P",61,1288.42261665221,"XQNID","Nottingham","California","USA","Regional Pumpkin Festival","1954 Q","1584 C",388,1265,3,"Cinderella",584.418668248879,"heavy"
"2589-P",54,1280.95410587639,"IRISV","New York","California","UK","Regional Pumpkin Festival","1186 Q","1159 N",384,1209,3,"Atlantic Giant",581.031008745701,"heavy"
"2232-P",38,1265.25587779284,"BLGTS","New York","Florida","USA","Local Pumpkin Festival","1085 J","1534 Y",372,1143,11,"Howden",573.910412264482,"heavy"
"2292-P",81,1273.28107962664,"XKLQS","Los Angeles","Florida","Mexico","National Pumpkin Festival","1571 K","1442 Y",0,-3,-5,"Jack Be Little",577.550582584007,"heavy"
"2572-P",40,1259.135234599,"WWEPJ","New York","Florida","USA","National Pumpkin Festival","1058 G","1315 Q",365,1098,18,"Cinderella",571.134135212267,"heavy"
"2941-P",26,1257.27277793456,"QVNCV","Chicago","Florida","USA","Regional Pumpkin Festival","1189 L","1188 M",375,1163,4,"Cinderella",570.28933907982,"heavy"
"2326-P",21,1259.73178482335,"RQJHG","Paris","New York","USA","National Pumpkin Festival","1582 M","1227 U",380,1191,7,"Jack Be Little",571.404725842354,"heavy"
"2241-P",79,1240.69661173224,"VLMLZ","Chicago","New York","UK","Regional Pumpkin Festival","1317 C","1021 V",382,1225,1,"Jack Be Little",562.770516566599,"heavy"
"2439-P",21,1227.50340168737,"VAMCA","Nottingham","Florida","Mexico","National Pumpkin Festival","1905 G","1071 G",400,1341,-9,"Cinderella",556.786177154436,"heavy"
"2817-P",95,1231.47333107889,"CMEIL","Los Angeles","New York","USA","Regional Pumpkin Festival","1095 T","1158 K",403,1347,-11,"Cinderella",558.586906835867,"heavy"
"2750-P",62,1236.57767920196,"XOQJZ","Houston","California","Mexico","Local Pumpkin Festival","1949 V","1465 V",375,1141,3,"Atlantic Giant",560.902200198317,"heavy"
"2110-P",8,1225.78312624972,"QIPPN","Chicago","California","UK","Local Pumpkin Festival","1466 W","1513 K",377,1130,10,"Cinderella",556.005873341621,"heavy"
"2531-P",79,1218.76219658926,"LXFXA","Los Angeles","Florida","UK","Local Pumpkin Festival","1373 B","1540 W",379,1211,2,"Howden",552.821233217329,"heavy"
"2050-P",56,1208.71039546467,"VFURE","New York","Florida","Mexico","Regional Pumpkin Festival","1100 D","1866 W",371,1100,11,"Howden",548.261812922459,"heavy"
"2466-P",6,1214.64568653256,"SUMOA","Paris","Florida","USA","Local Pumpkin Festival","1755 A","1236 M",394,1319,-13,"Atlantic Giant",550.95401566458,"heavy"
"2355-P",14,1221.72215199471,"ZVDWU","Nottingham","Florida","USA","Regional Pumpkin Festival","1917 J","1105 D",378,1172,5,"Atlantic Giant",554.163846404779,"heavy"
"2129-P",73,1204.88049457315,"GSATM","Los Angeles","California","Mexico","Regional Pumpkin Festival","1018 O","1507 D",394,1267,-3,"Atlantic Giant",546.524599100209,"heavy"
"2609-P",3,1206.7592968531,"QLJGQ","Paris","New York","USA","Local Pumpkin Festival","1643 L","1699 W",382,1249,-7,"Jack Be Little",547.376809479129,"heavy"
"2193-P",12,1205.15737180784,"GURKZ","Paris","Florida","USA","National Pumpkin Festival","1102 G","1311 K",399,1372,-17,"Jack Be Little",546.650188501291,"heavy"
"2970-P",81,1196.44833175745,"YWFLE","Houston","Texas","USA","Regional Pumpkin Festival","1786 I","1634 F",379,1168,3,"Howden",542.699834384407,"heavy"
"2685-P",35,1189.9692675937,"QLJLF","Nottingham","Florida","Mexico","National Pumpkin Festival","1288 I","1578 P",386,1275,-9,"Jack Be Little",539.760980314989,"heavy"
"2748-P",49,1198.36892973445,"ZRQBT","Nottingham","California","UK","National Pumpkin Festival","1555 O","1587 T",388,1301,-3,"Atlantic Giant",543.571002972614,"heavy"
"2015-P",77,1198.16402377635,"MNLBA","Houston","Texas","USA","National Pumpkin Festival","1738 I","1015 T",385,1196,5,"Jack Be Little",543.478059193452,"heavy"
"2603-P",64,1180.91584524792,"KLZYQ","Houston","California","UK","National Pumpkin Festival","1813 J","1706 V",388,1250,-11,"Howden",535.654417016556,"heavy"
"2633-P",59,1177.45745594893,"LGGNE","Chicago","California","Mexico","Local Pumpkin Festival","1751 Q","1934 R",379,1217,-6,"Atlantic Giant",534.085718018044,"heavy"
"2663-P",12,1183.80473538395,"OBNQX","Houston","New York","USA","Local Pumpkin Festival","1075 I","1309 K",369,1101,7,"Cinderella",536.964795540029,"heavy"
"2137-P",12,1177.72186310776,"DAGRL","New York","New York","Mexico","Regional Pumpkin Festival","1286 I","1875 V",382,1182,-3,"Cinderella",534.205651087863,"heavy"
"2996-P",77,1178.28803411871,"AHWWB","Nottingham","Texas","USA","National Pumpkin Festival","1533 T","1499 O",355,999,14,"Atlantic Giant",534.462461938547,"heavy"
"2760-P",57,1168.4521595398,"OBKGF","Nottingham","California","USA","National Pumpkin Festival","1827 M","1512 Q",376,1125,8,"Howden",530.000984277274,"heavy"
"2671-P",80,1170.5346322665,"HHHBS","New York","New York","UK","National Pumpkin Festival","1619 B","1519 P",367,1086,6,"Howden",530.94557801684,"heavy"
"2422-P",37,1169.94638719223,"WUGCM","Houston","California","UK","National Pumpkin Festival","1001 Y","1900 E",374,1115,8,"Jack Be Little",530.678754539463,"heavy"
"2990-P",45,1164.2114220066,"HWNJY","Chicago","Florida","Mexico","National Pumpkin Festival","1968 G","1081 J",397,1369,-15,"Atlantic Giant",528.077418089044,"heavy"
"2139-P",21,1164.96990709472,"YYRFH","Nottingham","California","USA","National Pumpkin Festival","1373 J","1120 F",367,1041,11,"Jack Be Little",528.421461137776,"heavy"
"2997-P",21,1161.51335049514,"TRIEW","Houston","Florida","USA","Regional Pumpkin Festival","1814 C","1236 D",381,1152,-3,"Howden",526.85359343773,"heavy"
"2015-P",52,1157.92546717264,"JNAKX","Nottingham","Florida","USA","National Pumpkin Festival","1289 F","1829 S",376,1157,1,"Howden",525.226156938194,"heavy"
"2129-P",19,1150.15617562365,"ZNQKC","Los Angeles","California","UK","National Pumpkin Festival","1362 S","1598 A",387,1282,-6,"Jack Be Little",521.702065571267,"heavy"
"2503-P",77,1139.52070350014,"EAWVA","New York","California","Mexico","Local Pumpkin Festival","1808 W","1728 H",355,990,16,"Jack Be Little",516.877896564694,"heavy"
"2456-P",4,1147.34926230926,"EHDLH","Nottingham","Texas","Mexico","Regional Pumpkin Festival","1800 L","1338 U",2,2,-1,"Cinderella",520.428871108609,"heavy"
"2784-P",7,1128.96541183162,"ONCHO","Houston","Texas","UK","Local Pumpkin Festival","1765 L","1511 N",367,1122,-2,"Atlantic Giant",512.090096800733,"heavy"
"2723-P",72,1136.48923569266,"ZIKMJ","Chicago","California","UK","Regional Pumpkin Festival","1483 R","1615 I",376,1180,-7,"Atlantic Giant",515.502845897321,"heavy"
"2126-P",100,1127.98587090522,"OGSPO","Houston","California","Mexico","National Pumpkin Festival","1586 Q","1057 S",373,1085,5,"Howden",511.645784510413,"heavy"
"2644-P",68,1130.98465636559,"TJQTZ","Los Angeles","New York","UK","Regional Pumpkin Festival","1739 S","1488 M",381,1195,-8,"Howden",513.006010714503,"heavy"
"2986-P",53,1120.50060852431,"JVASS","New York","New York","UK","Regional Pumpkin Festival","1634 Q","1046 H",373,1163,-2,"Jack Be Little",508.250526606983,"heavy"
"2875-P",33,1120.51811168529,"MRLIX","Paris","California","Mexico","Local Pumpkin Festival","1763 P","1529 O",373,1126,3,"Howden",508.258465907256,"heavy"
"2926-P",48,1125.94487205241,"FCFOW","Los Angeles","Florida","USA","Regional Pumpkin Festival","1280 G","1194 L",371,1119,6,"Jack Be Little",510.720003003599,"heavy"
"2884-P",90,1120.80138236284,"KYYXX","Chicago","Florida","UK","Regional Pumpkin Festival","1929 B","1040 C",395,1272,-15,"Howden",508.386955325238,"heavy"
"2839-P",93,1124.93375539407,"SSPYA","New York","Texas","Mexico","Regional Pumpkin Festival","1473 W","1082 V",374,1110,5,"Jack Be Little",510.261368202197,"heavy"
"2547-P",58,1117.06140941288,"YZTPS","Houston","Texas","UK","Regional Pumpkin Festival","1391 T","1038 E",373,1134,2,"Atlantic Giant",506.69053213113,"heavy"
"2412-P",28,1117.37209192291,"QXJTT","Los Angeles","New York","UK","Regional Pumpkin Festival","1422 M","1482 B",382,1189,-1,"Atlantic Giant",506.83145534717,"heavy"
"2575-P",6,1109.9652868133,"VWHQQ","Nottingham","California","Mexico","Local Pumpkin Festival","1745 Y","1271 L",374,1148,2,"Jack Be Little",503.471785063376,"heavy"
"2128-P",84,1120.48523863778,"DWMKF","Houston","Florida","Mexico","National Pumpkin Festival","1871 X","1202 R",363,1058,7,"Cinderella",508.243554943724,"heavy"
"2308-P",76,1108.48035404459,"MDNCR","Nottingham","Florida","USA","Local Pumpkin Festival","1899 Z","1459 D",370,1116,4,"Atlantic Giant",502.798230889523,"heavy"
"2723-P",2,1120.98743076436,"OFZYW","New York","California","UK","Regional Pumpkin Festival","1406 Q","1210 U",369,1095,5,"Jack Be Little",508.471345460618,"heavy"
"2873-P",9,1119.57570224628,"RCKAH","Houston","New York","UK","Local Pumpkin Festival","1857 U","1662 N",363,1031,7,"Atlantic Giant",507.830996176304,"heavy"
"2440-P",46,1117.59365313314,"JHQET","Paris","Florida","USA","Regional Pumpkin Festival","1495 Y","1906 R",364,1023,7,"Howden",506.931953821618,"heavy"
"2613-P",44,1099.63829913363,"ACREJ","Paris","New York","Mexico","Local Pumpkin Festival","1104 J","1433 M",367,1102,-1,"Atlantic Giant",498.787542246792,"heavy"
"2071-P",39,1102.28947827779,"BLNUA","Nottingham","California","USA","Regional Pumpkin Festival","1064 W","1809 P",344,910,21,"Jack Be Little",499.990096878085,"heavy"
"2893-P",33,1088.58974752761,"UKJMU","Houston","California","USA","Regional Pumpkin Festival","1128 T","1500 M",369,1064,2,"Cinderella",493.776003538752,"heavy"
"2931-P",67,1100.53946289606,"SQLYQ","New York","New York","Mexico","Regional Pumpkin Festival","1382 U","1200 L",350,968,12,"Jack Be Little",499.196303253553,"heavy"
"2473-P",72,1093.16797355842,"TMGHG","Nottingham","California","USA","National Pumpkin Festival","1590 E","1139 H",350,967,13,"Howden",495.85265193446,"heavy"
"2167-P",88,1096.15143288858,"FJQDP","Chicago","New York","Mexico","National Pumpkin Festival","1641 Z","1291 Q",376,1149,-1,"Jack Be Little",497.205926322828,"heavy"
"2624-P",44,1077.78011565097,"OPZAD","New York","California","USA","Regional Pumpkin Festival","1593 V","1349 T",350,979,6,"Atlantic Giant",488.872836996996,"heavy"
"2483-P",47,1071.28585792705,"MRACQ","New York","Florida","UK","Local Pumpkin Festival","1402 Z","1022 A",364,1041,8,"Atlantic Giant",485.927091244616,"heavy"
"2552-P",14,1075.35175725538,"VSCIV","Paris","California","Mexico","National Pumpkin Festival","1607 W","1893 G",336,876,19,"Howden",487.771352157134,"heavy"
"2014-P",75,1074.51692563109,"SPQIN","Houston","Texas","Mexico","Local Pumpkin Festival","1334 F","1683 I",349,938,15,"Jack Be Little",487.39267890212,"heavy"
"2440-P",90,1074.62352020666,"SDGFW","Nottingham","Texas","UK","Regional Pumpkin Festival","1512 H","1028 O",356,996,8,"Howden",487.441029388282,"heavy"
"2696-P",7,1065.87752544321,"NAOPJ","Chicago","Texas","UK","Regional Pumpkin Festival","1045 W","1220 M",-5,5,3,"Cinderella",483.473912895521,"heavy"
"2987-P",10,1062.77475337218,"PZXXE","Houston","New York","USA","Regional Pumpkin Festival","1473 K","1995 I",349,934,17,"Jack Be Little",482.066519158255,"heavy"
"2742-P",65,1051.78305983357,"KQCTS","Los Angeles","California","Mexico","Local Pumpkin Festival","1436 J","1887 K",345,928,14,"Atlantic Giant",477.080770835761,"heavy"
"2147-P",72,1047.5977634497,"XNHVZ","Paris","Texas","USA","Regional Pumpkin Festival","1227 C","1231 O",363,1010,8,"Cinderella",475.182352329848,"heavy"
"2796-P",82,1054.36191932112,"FNEWP","Houston","California","USA","Local Pumpkin Festival","1467 V","1225 Q",356,962,5,"Cinderella",478.250521822616,"heavy"
"2960-P",76,1040.06604729593,"QXVFD","Chicago","Florida","Mexico","Local Pumpkin Festival","1409 A","1643 T",361,1047,-3,"Howden",471.766023349492,"heavy"
"2283-P",24,1054.55367773306,"CIJGH","Nottingham","Texas","USA","National Pumpkin Festival","1966 J","1188 Y",367,1045,-3,"Howden",478.337501975153,"heavy"
"2267-P",7,1035.41968079936,"NVQSO","Nottingham","Texas","UK","Local Pumpkin Festival","1347 M","1004 D",364,1063,-7,"Atlantic Giant",469.658466958424,"heavy"
"2092-P",48,1033.27782749478,"COSXM","Paris","Florida","USA","National Pumpkin Festival","1406 R","1343 J",373,1086,-1,"Howden",468.686938641807,"heavy"
"2713-P",90,1031.64920672681,"NNYRO","New York","Florida","UK","Regional Pumpkin Festival","1198 C","1653 O",352,968,4,"Atlantic Giant",467.948208687835,"heavy"
"2281-P",52,1042.56233282536,"UNVUF","Nottingham","California","Mexico","Regional Pumpkin Festival","1369 I","1540 Z",357,1017,-3,"Cinderella",472.898319418985,"heavy"
"2240-P",38,1039.21552860364,"CSBSM","Los Angeles","New York","UK","National Pumpkin Festival","1599 K","1274 R",377,1143,-9,"Howden",471.380234560129,"heavy"
"2436-P",65,1040.72397882864,"WIEBZ","Chicago","Florida","Mexico","Regional Pumpkin Festival","1832 D","1298 Y",366,1096,-5,"Atlantic Giant",472.064456072712,"heavy"
"2116-P",26,1039.06998476107,"DYAYF","Paris","Florida","Mexico","National Pumpkin Festival","1252 F","1016 S",372,1127,-3,"Howden",471.314216983636,"heavy"
"2085-P",37,1035.13595997263,"VJCHT","Chicago","Florida","Mexico","Local Pumpkin Festival","1896 K","1081 Z",4,0,-3,"Cinderella",469.529773356209,"heavy"
"2791-P",48,1040.51022542082,"CKYUO","Paris","Texas","USA","Local Pumpkin Festival","1519 J","1617 T",372,1084,-4,"Jack Be Little",471.967499157863,"heavy"
"2804-P",31,1029.26614888757,"DRUVL","Chicago","New York","USA","Regional Pumpkin Festival","1849 N","1980 B",345,943,9,"Jack Be Little",466.867271834688,"heavy"
"2269-P",4,1018.9552110713,"REKDK","New York","New York","USA","Regional Pumpkin Festival","1254 J","1053 A",350,978,1,"Cinderella",462.19030911368,"heavy"
"2337-P",3,1016.31107634306,"MZMSG","Chicago","New York","Mexico","National Pumpkin Festival","1393 B","1690 O",369,1063,1,"Atlantic Giant",460.990949775699,"heavy"
"2583-P",71,1025.77928346954,"XUGEA","Paris","Texas","Mexico","National Pumpkin Festival","1512 F","1288 S",355,962,6,"Atlantic Giant",465.285656285852,"heavy"
"2567-P",44,1024.39500235766,"HTAUK","Paris","New York","Mexico","Regional Pumpkin Festival","1164 S","1955 I",367,1111,-12,"Cinderella",464.657756935567,"heavy"
"2742-P",38,1013.94762106296,"TASCG","Chicago","Texas","Mexico","Local Pumpkin Festival","1882 D","1554 A",368,1051,-6,"Jack Be Little",459.918904493808,"heavy"
"2767-P",1,1019.43320379071,"KRIOZ","New York","California","Mexico","National Pumpkin Festival","1023 M","1451 P",358,1018,-3,"Cinderella",462.407122964121,"heavy"
"2200-P",7,1014.33824474178,"PLSWL","Chicago","New York","UK","National Pumpkin Festival","1942 O","1694 X",350,938,10,"Cinderella",460.096088414065,"heavy"
"2115-P",23,1005.85507729184,"FRBYQ","Nottingham","California","Mexico","Regional Pumpkin Festival","1192 Y","1235 I",360,1031,-8,"Howden",456.248188385338,"heavy"
"2878-P",21,1004.7794125732,"PRTGR","Nottingham","Texas","USA","Regional Pumpkin Festival","1139 Y","1807 X",348,959,0,"Cinderella",455.760275076287,"heavy"
"2421-P",41,1007.53175728209,"NFVLD","Houston","New York","UK","Regional Pumpkin Festival","1053 D","1147 L",361,1030,-2,"Atlantic Giant",457.008717635849,"heavy"
"2270-P",74,986.023266868666,"YRKTE","Nottingham","Texas","Mexico","Local Pumpkin Festival","1427 S","1263 M",-2,-2,4,"Atlantic Giant",447.252630494101,"heavy"
"2438-P",82,1003.2245248314,"SRSXE","New York","California","Mexico","Local Pumpkin Festival","1439 W","1284 U",381,1176,-16,"Atlantic Giant",455.054989860398,"heavy"
"2461-P",11,992.270356748253,"MEZDD","Los Angeles","New York","USA","Local Pumpkin Festival","1426 G","1266 X",5,2,-2,"Jack Be Little",450.086262798186,"heavy"
"2932-P",37,984.811599209905,"IYWYP","Los Angeles","New York","USA","Local Pumpkin Festival","1066 D","1859 P",4,-4,-4,"Howden",446.703027289111,"heavy"
"2298-P",75,991.29199448321,"DCQEN","Los Angeles","Florida","Mexico","Regional Pumpkin Festival","1881 Y","1876 G",356,1022,-1,"Jack Be Little",449.642485139666,"heavy"
"2864-P",32,990.997670981102,"ICTQP","Paris","New York","UK","Regional Pumpkin Festival","1537 Q","1694 Z",354,997,-6,"Jack Be Little",449.508982244798,"heavy"
"2082-P",12,979.257177766412,"JPKDD","New York","Florida","USA","National Pumpkin Festival","1235 R","1056 Q",344,935,2,"Atlantic Giant",444.183584102578,"heavy"
"2473-P",1,982.782962792926,"OUBJE","Nottingham","Texas","Mexico","Local Pumpkin Festival","1519 I","1263 Q",368,1062,-9,"Howden",445.782853288865,"heavy"
"2406-P",43,986.245099635236,"JUGUC","New York","Florida","USA","National Pumpkin Festival","1256 Q","1232 G",353,983,-4,"Atlantic Giant",447.353252144433,"heavy"
"2719-P",17,985.924134075642,"USUVY","Houston","Texas","USA","Regional Pumpkin Festival","1655 X","1453 G",343,919,4,"Jack Be Little",447.207664615568,"heavy"
